visual_or_object_ref,pass84_resolution_class,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,groups,example_entries
$849F,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_849F,manual_asset_table_decode_needed,low,2,general_livestock,$01:2,$01:2@$B39F3E $01:2@$B39F3E
$881C,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_881C,manual_asset_table_decode_needed,low,1,general_livestock,$00:1,$00:110@$B391D6
$884C,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_884C,manual_asset_table_decode_needed,low,1,general_livestock,$00:1,$00:115@$B391F4
$88CB,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_88CB,manual_asset_table_decode_needed,low,1,general_livestock,$04:1,$04:6@$B3CB60
$893C,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_893C,manual_asset_table_decode_needed,low,1,general_livestock,$00:1,$00:92@$B39117
$899C,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_899C,manual_asset_table_decode_needed,low,1,general_livestock,$00:1,$00:68@$B39087
$89CC,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_89CC,manual_asset_table_decode_needed,low,1,general_livestock,$00:1,$00:72@$B3909F
$B3D7,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B3D7,manual_asset_table_decode_needed,low,1,general_livestock,$06:1,$06:3@$B3D6CF
$B597,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_dog_pet_B597,manual_asset_table_decode_needed,low,1,dog_pet,$43:1,$43:4@$B59313
$B598,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B598,manual_asset_table_decode_needed,low,1,general_livestock,$44:1,$44:0@$B597F1
$B5A6,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_npc_family_or_romance_B5A6,manual_asset_table_decode_needed,low,1,npc_family_or_romance,$45:1,$45:3@$B5A484
$E8E1,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_npc_family_or_romance_E8E1,manual_asset_table_decode_needed,low,1,npc_family_or_romance,$08:1,$08:1@$B3E1C9
$FBD7,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_FBD7,manual_asset_table_decode_needed,low,1,general_livestock,$06:1,$06:3@$B3D6CF
$B38D,source_address_line_match,SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,context_source_address_not_final_gobj,medium,64,cow_livestock,$00:64,$00:4@$B38CF8 $00:5@$B38D05 $00:6@$B38D12 $00:7@$B38D1F $00:8@$B38D2C $00:9@$B38D39 $00:12@$B38D5A $00:13@$B38D67
$B3E5,source_address_line_match,SourceLineRef_cow_livestock_B3E5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,12,cow_livestock,$08:12,$08:5@$B3E4ED $08:5@$B3E4ED $08:5@$B3E4ED $08:6@$B3E560 $08:6@$B3E560 $08:6@$B3E560 $08:6@$B3E560 $08:7@$B3E59A
$B38E,source_address_line_match,SourceLineRef_cow_livestock_B38E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,11,cow_livestock,$00:11,$00:23@$B38DFC $00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D $00:29@$B38E72 $00:31@$B38E94
$B3CB,source_address_line_match,SourceLineRef_general_livestock_B3CB_code_banks_bank_84,context_source_address_not_final_gobj,medium,11,general_livestock,$04:11,$04:5@$B3CA98 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:7@$B3CBA5 $04:7@$B3CBA5
$B3D9,source_address_line_match,SourceLineRef_cow_livestock_B3D9_code_banks_bank_84,context_source_address_not_final_gobj,medium,10,cow_livestock,$06:10,$06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:6@$B3D99B $06:6@$B3D99B $06:6@$B3D99B
$B3E0,source_address_line_match,SourceLineRef_general_livestock_B3E0_code_banks_bank_84_data_banks_bank_86,context_source_address_not_final_gobj,medium,10,general_livestock,$07:5 $08:5,$07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $08:0@$B3E0DF $08:0@$B3E0DF $08:0@$B3E0DF
$B3D6,source_address_line_match,SourceLineRef_general_livestock_B3D6_code_banks_bank_84,context_source_address_not_final_gobj,medium,9,general_livestock,$06:9,$06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3 $06:3@$B3D6CF $06:3@$B3D6CF $06:3@$B3D6CF $06:3@$B3D6CF
$86C0,source_address_line_match,SourceLineRef_cow_livestock_86C0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,8,cow_livestock,$00:8,$00:3@$B38CEB $00:28@$B38E5D $00:37@$B38F03 $00:100@$B3916E $00:101@$B3917B $00:102@$B39188 $00:103@$B39195 $00:120@$B39212
$B38F,source_address_line_match,SourceLineRef_cow_livestock_B38F_code_banks_bank_84,context_source_address_not_final_gobj,medium,8,cow_livestock,$00:8,$00:37@$B38F03 $00:38@$B38F11 $00:38@$B38F11 $00:44@$B38F77 $00:47@$B38FA2 $00:48@$B38FAF $00:49@$B38FC3 $00:53@$B38FF5
$B3AD,source_address_line_match,SourceLineRef_cow_livestock_B3AD_data_banks_bank_B4,context_source_address_not_final_gobj,medium,8,cow_livestock,$01:8,$01:9@$B3AD24 $01:9@$B3AD24 $01:9@$B3AD24 $01:9@$B3AD24 $01:10@$B3ADB1 $01:10@$B3ADB1 $01:10@$B3ADB1 $01:10@$B3ADB1
$B3D5,source_address_line_match,SourceLineRef_general_livestock_B3D5_data_banks_bank_A5,context_source_address_not_final_gobj,medium,8,general_livestock,$06:8,$06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3
$B3E2,source_address_line_match,SourceLineRef_general_livestock_B3E2_code_banks_bank_84,context_source_address_not_final_gobj,medium,8,general_livestock,$08:8,$08:1@$B3E1C9 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232
$8009,source_address_line_match,SourceLineRef_cow_livestock_8009_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,7,cow_livestock,$08:4 $06:3,$06:1@$B3D59D $06:5@$B3D90E $06:6@$B3D99B $08:1@$B3E1C9 $08:5@$B3E4ED $08:6@$B3E560 $08:7@$B3E59A
$8234,source_address_line_match,SourceLineRef_general_livestock_8234_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,7,general_livestock,$00:2 $01:1 $04:1 $07:1 $08:1 $0B:1,$00:54@$B39001 $00:55@$B3900F $01:9@$B3AD24 $04:7@$B3CBA5 $07:7@$B3E037 $08:7@$B3E59A $0B:10@$B3EEEA
$8318,source_address_line_match,SourceLineRef_dog_pet_8318_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,7,dog_pet,$00:1 $01:1 $04:1 $06:1 $07:1 $08:1 $24:1,$00:29@$B38E72 $01:4@$B3A162 $04:3@$B3C810 $06:3@$B3D6CF $07:3@$B3DCD1 $08:3@$B3E31F $24:1@$B4A531
$86A8,source_address_line_match,SourceLineRef_cow_livestock_86A8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,7,cow_livestock,$00:7,$00:4@$B38CF8 $00:27@$B38E48 $00:96@$B3913A $00:97@$B39147 $00:98@$B39154 $00:99@$B39161 $00:116@$B391FA
$B3A5,source_address_line_match,SourceLineRef_dog_pet_B3A5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,7,dog_pet,$01:7,$01:5@$B3A438 $01:5@$B3A438 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1
$B3C7,source_address_line_match,SourceLineRef_npc_family_or_romance_B3C7_code_banks_bank_84,context_source_address_not_final_gobj,medium,7,npc_family_or_romance,$04:7,$04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE
$B3C8,source_address_line_match,SourceLineRef_npc_family_or_romance_B3C8_data_banks_bank_B6,context_source_address_not_final_gobj,medium,7,npc_family_or_romance,$04:7,$04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810
$B3A1,source_address_line_match,SourceLineRef_dog_pet_B3A1_code_banks_bank_84,context_source_address_not_final_gobj,medium,6,dog_pet,$01:6,$01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162
$B3B8,source_address_line_match,SourceLineRef_general_livestock_B3B8_code_banks_bank_84_data_banks_bank_B6,context_source_address_not_final_gobj,medium,6,general_livestock,$02:6,$02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2
