old_label,new_label
CODE_84C3A3,EventScriptBank84_Branch_84C3A3
CODE_84C3AE,EventScriptBank84_Branch_84C3AE
CODE_84C415,EventScriptBank84_Branch_84C415
CODE_84C43E,EventScriptBank84_Branch_84C43E
CODE_84C465,EventScriptBank84_Branch_84C465
CODE_84C470,EventScriptBank84_Branch_84C470
CODE_84C47B,EventScriptBank84_Branch_84C47B
CODE_84C4A4,EventScriptBank84_Branch_84C4A4
CODE_84C4EA,EventScriptBank84_Branch_84C4EA
CODE_84C51D,EventScriptBank84_Branch_84C51D
CODE_84C525,EventScriptBank84_Branch_84C525
CODE_84C52D,EventScriptBank84_Branch_84C52D
CODE_84C54D,EventScriptBank84_Branch_84C54D
CODE_84C558,EventScriptBank84_Branch_84C558
CODE_84C563,EventScriptBank84_Branch_84C563
CODE_84C56E,EventScriptBank84_Branch_84C56E
CODE_84C579,EventScriptBank84_Branch_84C579
CODE_84C5B4,EventScriptBank84_Branch_84C5B4
CODE_84C5C8,EventScriptBank84_Branch_84C5C8
CODE_84C605,EventScriptBank84_Branch_84C605
CODE_84C611,EventScriptBank84_Branch_84C611
CODE_84C644,EventScriptBank84_Branch_84C644
CODE_84C650,EventScriptBank84_Branch_84C650
CODE_84C683,EventScriptBank84_Branch_84C683
CODE_84C6B6,EventScriptBank84_Branch_84C6B6
CODE_84C7E3,EventScriptBank84_Branch_84C7E3
CODE_84C7EE,EventScriptBank84_Branch_84C7EE
CODE_84C7F9,EventScriptBank84_Branch_84C7F9
CODE_84C804,EventScriptBank84_Branch_84C804
CODE_84C80F,EventScriptBank84_Branch_84C80F
CODE_84C81A,EventScriptBank84_Branch_84C81A
CODE_84C825,EventScriptBank84_Branch_84C825
CODE_84C830,EventScriptBank84_Branch_84C830
CODE_84C83B,EventScriptBank84_Branch_84C83B
CODE_84C846,EventScriptBank84_Branch_84C846
CODE_84C851,EventScriptBank84_Branch_84C851
