group,label,entry,script_target,command_index,command_addr,opcode,relation,symbol,bit_or_value,extra
$02,EventScriptGroup_02,3,$B3B6E1,35,$B3B77C,$1C,dialog_text_id,Text_$0080,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,37,$B3B783,$28,write_value_or_flag,$7F1F5A,bit_$09,
$02,EventScriptGroup_02,3,$B3B6E1,38,$B3B788,$1C,dialog_text_id,Text_$0081,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,40,$B3B78F,$1C,dialog_text_id,Text_$0151,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,42,$B3B796,$1C,dialog_text_id,Text_$0392,mode_$00,
$02,EventScriptGroup_02,4,$B3B8D2,4,$B3B8DC,$14,read_condition,$7F1F66,bit_$02,
$02,EventScriptGroup_02,4,$B3B8D2,5,$B3B8E3,$14,read_condition,$7F1F6C,bit_$00,
$02,EventScriptGroup_02,4,$B3B8D2,8,$B3B8F1,$16,read_condition,$7F1F1C,between_$11_$12,
$03,EventScriptGroup_03,0,$B3BA59,6,$B3BA6E,$14,read_condition,$7F1F6C,bit_$06,
$03,EventScriptGroup_03,0,$B3BA59,7,$B3BA75,$14,read_condition,$7F1F64,bit_$06,
$03,EventScriptGroup_03,0,$B3BA59,9,$B3BA7F,$45,read_condition,$7F1F1F,word_$00FA,
$03,EventScriptGroup_03,0,$B3BA59,10,$B3BA89,$45,read_condition,$7F1F21,word_$00FA,
$03,EventScriptGroup_03,0,$B3BA59,11,$B3BA93,$45,read_condition,$7F1F23,word_$00FA,
$03,EventScriptGroup_03,0,$B3BA59,12,$B3BA9D,$45,read_condition,$7F1F25,word_$00FA,
$03,EventScriptGroup_03,0,$B3BA59,13,$B3BAA7,$45,read_condition,$7F1F27,word_$00FA,
$03,EventScriptGroup_03,0,$B3BA59,18,$B3BABE,$14,read_condition,$7F1F66,bit_$04,
$03,EventScriptGroup_03,0,$B3BA59,19,$B3BAC5,$16,read_condition,$7F1F1C,between_$11_$12,
$03,EventScriptGroup_03,1,$B3BD2D,10,$B3BD4F,$14,read_condition,$7F1F66,bit_$00,
$03,EventScriptGroup_03,1,$B3BD2D,11,$B3BD56,$14,read_condition,$7F1F6A,bit_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,13,$B3BD61,$14,read_condition,$7F1F66,bit_$01,
$03,EventScriptGroup_03,1,$B3BD2D,15,$B3BD6C,$14,read_condition,$7F1F66,bit_$03,
$03,EventScriptGroup_03,1,$B3BD2D,22,$B3BD8D,$1C,dialog_text_id,Text_$01E0,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,24,$B3BD94,$16,read_condition,$80091E,between_$09_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,25,$B3BD9C,$1C,dialog_text_id,Text_$0200,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,27,$B3BDA3,$1C,dialog_text_id,Text_$03B0,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,29,$B3BDAA,$14,read_condition,$7F1F6A,bit_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,30,$B3BDB1,$1C,dialog_text_id,Text_$0059,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,32,$B3BDB8,$1C,dialog_text_id,Text_$01CF,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,38,$B3BDD2,$1C,dialog_text_id,Text_$01C9,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,41,$B3BDDD,$16,read_condition,$80091E,between_$09_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,42,$B3BDE5,$1C,dialog_text_id,Text_$0200,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,45,$B3BDF0,$1C,dialog_text_id,Text_$03B8,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,48,$B3BDFB,$14,read_condition,$7F1F6A,bit_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,49,$B3BE02,$1C,dialog_text_id,Text_$0037,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,52,$B3BE0D,$1C,dialog_text_id,Text_$01CD,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,59,$B3BE2B,$1C,dialog_text_id,Text_$01C6,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,62,$B3BE36,$16,read_condition,$80091E,between_$09_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,63,$B3BE3E,$1C,dialog_text_id,Text_$0200,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,66,$B3BE49,$1C,dialog_text_id,Text_$03B9,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,69,$B3BE54,$14,read_condition,$7F1F6A,bit_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,70,$B3BE5B,$1C,dialog_text_id,Text_$003C,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,73,$B3BE66,$1C,dialog_text_id,Text_$01CE,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,80,$B3BE84,$1C,dialog_text_id,Text_$01CA,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,83,$B3BE8F,$16,read_condition,$80091E,between_$09_$0C,
$03,EventScriptGroup_03,1,$B3BD2D,84,$B3BE97,$1C,dialog_text_id,Text_$0200,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,87,$B3BEA2,$1C,dialog_text_id,Text_$0049,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,90,$B3BEAD,$14,read_condition,$7F1F6A,bit_$0E,
$03,EventScriptGroup_03,1,$B3BD2D,91,$B3BEB4,$1C,dialog_text_id,Text_$0042,mode_$00,
$03,EventScriptGroup_03,1,$B3BD2D,94,$B3BEBF,$1C,dialog_text_id,Text_$01DC,mode_$00,
$03,EventScriptGroup_03,2,$B3C1E4,2,$B3C1E9,$14,read_condition,$7F1F6C,bit_$04,
$03,EventScriptGroup_03,2,$B3C1E4,7,$B3C1FD,$14,read_condition,$7F1F66,bit_$04,
$03,EventScriptGroup_03,2,$B3C1E4,8,$B3C204,$14,read_condition,$7F1F6C,bit_$04,
$03,EventScriptGroup_03,2,$B3C1E4,10,$B3C20F,$14,read_condition,$7F1F66,bit_$02,
