old_label,new_label,file
CODE_83C7C8,Bank83_NpcSpriteLogicBranch_83C7C8,src/code_banks/bank_83.asm
CODE_83C7CA,Bank83_NpcSpriteLogicBranch_83C7CA,src/code_banks/bank_83.asm
CODE_83C7D7,Bank83_NpcSpriteLogicBranch_83C7D7,src/code_banks/bank_83.asm
CODE_83C7F5,Bank83_NpcSpriteLogicBranch_83C7F5,src/code_banks/bank_83.asm
CODE_83C806,Bank83_NpcSpriteLogicBranch_83C806,src/code_banks/bank_83.asm
CODE_83CB91,Bank83_NpcSpriteLogicBranch_83CB91,src/code_banks/bank_83.asm
CODE_83CBA2,Bank83_NpcSpriteLogicBranch_83CBA2,src/code_banks/bank_83.asm
CODE_83CBB3,Bank83_NpcSpriteLogicBranch_83CBB3,src/code_banks/bank_83.asm
CODE_83CBC4,Bank83_NpcSpriteLogicBranch_83CBC4,src/code_banks/bank_83.asm
CODE_83CBE7,Bank83_NpcSpriteLogicBranch_83CBE7,src/code_banks/bank_83.asm
CODE_83CC0A,Bank83_NpcSpriteLogicBranch_83CC0A,src/code_banks/bank_83.asm
CODE_83CC17,Bank83_NpcSpriteLogicBranch_83CC17,src/code_banks/bank_83.asm
CODE_83CC23,Bank83_NpcSpriteLogicBranch_83CC23,src/code_banks/bank_83.asm
CODE_83CC2F,Bank83_NpcSpriteLogicBranch_83CC2F,src/code_banks/bank_83.asm
CODE_83CC3B,Bank83_NpcSpriteLogicBranch_83CC3B,src/code_banks/bank_83.asm
CODE_83CC47,Bank83_NpcSpriteLogicBranch_83CC47,src/code_banks/bank_83.asm
CODE_83CC53,Bank83_NpcSpriteLogicBranch_83CC53,src/code_banks/bank_83.asm
CODE_83CC60,Bank83_NpcSpriteLogicBranch_83CC60,src/code_banks/bank_83.asm
CODE_83CC69,Bank83_NpcSpriteLogicBranch_83CC69,src/code_banks/bank_83.asm
CODE_83CC72,Bank83_NpcSpriteLogicBranch_83CC72,src/code_banks/bank_83.asm
CODE_83CC7D,Bank83_NpcSpriteLogicBranch_83CC7D,src/code_banks/bank_83.asm
CODE_83CC88,Bank83_NpcSpriteLogicBranch_83CC88,src/code_banks/bank_83.asm
CODE_83CC93,Bank83_NpcSpriteLogicBranch_83CC93,src/code_banks/bank_83.asm
CODE_83CC9A,Bank83_NpcSpriteLogicBranch_83CC9A,src/code_banks/bank_83.asm
CODE_83CCE9,Bank83_NpcSpriteLogicBranch_83CCE9,src/code_banks/bank_83.asm
CODE_83CD38,Bank83_NpcSpriteLogicBranch_83CD38,src/code_banks/bank_83.asm
CODE_83CD90,Bank83_NpcSpriteLogicBranch_83CD90,src/code_banks/bank_83.asm
CODE_83CDF1,Bank83_NpcSpriteLogicBranch_83CDF1,src/code_banks/bank_83.asm
CODE_83CE5B,Bank83_NpcSpriteLogicBranch_83CE5B,src/code_banks/bank_83.asm
CODE_83CE93,Bank83_NpcSpriteLogicBranch_83CE93,src/code_banks/bank_83.asm
CODE_83CEAE,Bank83_NpcSpriteLogicBranch_83CEAE,src/code_banks/bank_83.asm
CODE_83CEDD,Bank83_NpcSpriteLogicBranch_83CEDD,src/code_banks/bank_83.asm
